x_m,z_m
34.500000,-4.732466444122e-06
34.550000,3.877833425670e-06
34.600000,-3.618131332715e-06
34.650000,1.296009277768e-05
34.700000,1.086066945582e-05
34.750000,-4.505056893579e-06
34.800000,-6.773249990142e-06
34.850000,1.027284506738e-06
34.900000,1.425024873394e-05
34.950000,-1.786365838334e-06
35.000000,-1.587706813991e-06
35.050000,1.672438225355e-05
35.100000,3.714460098724e-07
35.150000,-1.268599605555e-05
35.200000,-3.320950424013e-05
35.250000,-5.941032098753e-05
35.300000,-5.083669870850e-05
35.350000,-2.635096457316e-05
35.400000,2.561318154605e-05
35.450000,6.988628891736e-05
35.500000,5.373543840646e-05
35.550000,4.317269816956e-05
35.600000,5.988803152466e-05
35.650000,4.656889585557e-05
35.700000,2.486982201774e-05
35.750000,3.285019238611e-05
35.800000,3.222410451663e-05
35.850000,9.445592386751e-06
35.900000,1.994280025722e-07
35.950000,1.957138408302e-05
36.000000,5.110120157971e-05
36.050000,6.675426590178e-05
36.100000,8.327628304260e-05
36.150000,1.060424225361e-04
36.200000,9.729105410856e-05
36.250000,7.350493932160e-05
36.300000,6.072726033529e-05
36.350000,6.669791083247e-05
36.400000,8.100899966501e-05
36.450000,5.283855819203e-05
36.500000,-4.704053488806e-06
36.550000,-3.040780585786e-05
36.600000,-8.370310395042e-06
36.650000,2.524746119883e-05
36.700000,3.632137056274e-05
36.750000,4.959720254253e-05
36.800000,5.548960052026e-05
36.850000,3.129188376886e-05
36.900000,2.050458365494e-05
36.950000,3.156230360462e-05
37.000000,5.153438930804e-05
37.050000,7.335442938581e-05
37.100000,7.917356427330e-05
37.150000,7.931653596445e-05
37.200000,6.904350231187e-05
37.250000,6.573877146850e-05
37.300000,9.488714220097e-05
37.350000,1.031595162235e-04
37.400000,9.342282259580e-05
37.450000,1.032203035683e-04
37.500000,8.962095087345e-05
37.550000,5.474688263675e-05
37.600000,2.231965617778e-05
37.650000,7.387628257954e-06
37.700000,4.473304357587e-05
37.750000,6.107352813148e-05
37.800000,3.960364725651e-05
37.850000,5.278897900024e-05
37.900000,4.236750132872e-05
37.950000,3.424245581817e-05
38.000000,7.601420833956e-05
38.050000,8.149898722511e-05
38.100000,8.475207182422e-05
38.150000,8.476349943256e-05
38.200000,3.801098058828e-05
38.250000,3.005387065545e-05
38.300000,6.442885285473e-05
38.350000,1.069616502751e-04
38.400000,1.108996396395e-04
38.450000,7.114775465742e-05
38.500000,9.930525090198e-05
38.550000,1.441619049975e-04
38.600000,1.519715204850e-04
38.650000,1.514121393084e-04
38.700000,1.087297312905e-04
38.750000,1.099573530524e-04
38.800000,1.440013589318e-04
38.850000,1.284616526241e-04
38.900000,1.377135458072e-04
38.950000,1.472694448657e-04
39.000000,1.554408644177e-04
39.050000,1.828437695429e-04
39.100000,1.487761883122e-04
39.150000,1.245589939074e-04
39.200000,1.410774442140e-04
39.250000,1.332592055840e-04
39.300000,1.576001102525e-04
39.350000,2.043901665831e-04
39.400000,2.115478601187e-04
39.450000,2.078845391706e-04
39.500000,2.165361103720e-04
39.550000,2.057042730912e-04
39.600000,1.613580653823e-04
39.650000,1.331667359360e-04
39.700000,1.336414937055e-04
39.750000,1.181157337729e-04
39.800000,7.182121559371e-05
39.850000,2.539938194729e-05
39.900000,2.583503740062e-05
39.950000,4.182146983185e-05
40.000000,2.944998674847e-05
40.050000,4.203735952166e-05
40.100000,6.757457324150e-05
40.150000,4.417988290312e-05
40.200000,2.927818477399e-05
40.250000,4.653396830423e-05
40.300000,2.799141072189e-05
40.350000,-3.411524261387e-06
40.400000,-1.157691219082e-06
40.450000,1.445965979610e-05
40.500000,3.133855320696e-05
40.550000,2.446270855244e-05
40.600000,5.398254318104e-06
40.650000,2.228609920179e-05
40.700000,2.398055919708e-05
40.750000,-1.690549073661e-05
40.800000,-3.989526027923e-05
40.850000,-4.160545664886e-05
40.900000,-3.716987437005e-05
40.950000,-2.443946041540e-05
41.000000,-1.897794798547e-05
41.050000,-1.827204153556e-05
41.100000,2.226571710468e-06
41.150000,4.906486033887e-05
41.200000,6.777810848509e-05
41.250000,2.965230511709e-05
41.300000,-2.324526284541e-06
41.350000,-1.110608937361e-05
41.400000,-1.605673580072e-05
41.450000,-1.595800716402e-05
41.500000,-3.500406243830e-05
41.550000,-4.068863002971e-05
41.600000,-3.210203292396e-05
41.650000,-7.268604392194e-05
41.700000,-9.254471586378e-05
41.750000,-7.876149433600e-05
41.800000,-9.405532026314e-05
41.850000,-6.261891630873e-05
41.900000,-2.585245577496e-05
41.950000,-5.724041201035e-05
42.000000,-6.335255528572e-05
42.050000,-6.068236564890e-05
42.100000,-7.067922336205e-05
42.150000,-4.195129717450e-05
42.200000,-2.083784731335e-05
42.250000,1.108333025247e-06
42.300000,3.644693995022e-05
42.350000,3.245367707619e-05
42.400000,2.857415046267e-05
42.450000,4.978409235424e-05
42.500000,5.777634847279e-05
42.550000,4.479410654473e-05
42.600000,1.243262436951e-05
42.650000,-1.869889811106e-05
42.700000,-2.604001745530e-05
42.750000,-2.597525549711e-05
42.800000,-3.429333257731e-05
42.850000,-4.898386243783e-05
42.900000,-6.860017253233e-05
42.950000,-7.967156760861e-05
43.000000,-8.177585795342e-05
43.050000,-9.353716827969e-05
43.100000,-7.956359283405e-05
43.150000,-4.696618141134e-05
43.200000,-7.774714897440e-05
43.250000,-1.143008845018e-04
43.300000,-9.052464029726e-05
43.350000,-8.665469345914e-05
43.400000,-8.658408152668e-05
43.450000,-5.661921226087e-05
43.500000,-6.803800807018e-05
43.550000,-7.484402854486e-05
43.600000,-3.960384177768e-05
43.650000,-2.972778237716e-05
43.700000,-1.356953809024e-05
43.750000,1.847331346430e-05
43.800000,2.029680163749e-05
43.850000,1.811939385447e-05
43.900000,1.639338470880e-05
43.950000,2.245266549634e-05
44.000000,3.345018338021e-05
44.050000,2.422714528151e-05
44.100000,4.467206437570e-05
44.150000,6.137824534331e-05
44.200000,2.613501507078e-05
44.250000,1.858691609367e-05
44.300000,2.662284612052e-05
44.350000,1.843237348629e-05
44.400000,3.079542471802e-05
44.450000,2.885885027020e-05
44.500000,1.299119458666e-06
44.550000,-3.282568648303e-05
44.600000,-6.246888948013e-05
44.650000,-3.639618487711e-05
44.700000,3.998511194907e-06
44.750000,-3.864580556868e-06
44.800000,2.523669585733e-06
